question,answer,text
What potion allows a witch or wizard to disguise themselves as someone else for a limited amount of time?,Polyjuice Potion.,<s>[INST] What potion allows a witch or wizard to disguise themselves as someone else for a limited amount of time? [/INST] Polyjuice Potion. </s>
What kind of core did Harry's first want possess?,Phoenix Feather,<s>[INST] What kind of core did Harry's first want possess? [/INST] Phoenix Feather </s>
What did a Boggart reveal Seamus Finnigan's worst fear to be?,Banshee,<s>[INST] What did a Boggart reveal Seamus Finnigan's worst fear to be? [/INST] Banshee </s>
What is Ron's middle name?,Bilius,<s>[INST] What is Ron's middle name? [/INST] Bilius </s>
Which dragon did Cedric Diggory face in the first task of the Triwizard Tournament?,Swedish Short-Snout,<s>[INST] Which dragon did Cedric Diggory face in the first task of the Triwizard Tournament? [/INST] Swedish Short-Snout </s>
Where are flying lessons held?,Training Grounds,<s>[INST] Where are flying lessons held? [/INST] Training Grounds </s>
"""Lemon Drop"" is the password to whose office?",Dumbledore,"<s>[INST] ""Lemon Drop"" is the password to whose office? [/INST] Dumbledore </s>"
A statue of what creature marks the entrance to the Headmaster's Office?,Gargoyle,<s>[INST] A statue of what creature marks the entrance to the Headmaster's Office? [/INST] Gargoyle </s>
Who has been to every Quidditch World Cup since they were born?,Merula,<s>[INST] Who has been to every Quidditch World Cup since they were born? [/INST] Merula </s>
Who founded Hogsmeade Village?,Hengist of Woodcroft,<s>[INST] Who founded Hogsmeade Village? [/INST] Hengist of Woodcroft </s>
Who was the first Quidditch referee to die in a Quidditch match?,Cyprian Youdle,<s>[INST] Who was the first Quidditch referee to die in a Quidditch match? [/INST] Cyprian Youdle </s>
Madam Hooch has distinct yellow what?,Eyes,<s>[INST] Madam Hooch has distinct yellow what? [/INST] Eyes </s>
What eavesdropping tool did Fred and George invent in Harry Potter and the Order of the Phoenix?,Extendable Ears,<s>[INST] What eavesdropping tool did Fred and George invent in Harry Potter and the Order of the Phoenix? [/INST] Extendable Ears </s>
What does 'Meteolojinx Recanto' do?,Dispel weather charms,<s>[INST] What does 'Meteolojinx Recanto' do? [/INST] Dispel weather charms </s>
At what age can you earn your Apparition license?,17,<s>[INST] At what age can you earn your Apparition license? [/INST] 17 </s>
What does the Vermillious spell make appear from the tip of one's wand?,Red Sparks,<s>[INST] What does the Vermillious spell make appear from the tip of one's wand? [/INST] Red Sparks </s>
What is the name of the house-elf that belongs to the Malfoy family?,Dobby,<s>[INST] What is the name of the house-elf that belongs to the Malfoy family? [/INST] Dobby </s>
What does 'Colloportus' do?,Lock and seal doors,<s>[INST] What does 'Colloportus' do? [/INST] Lock and seal doors </s>
How is Quodpot different from Quidditch?,The ball explodes,<s>[INST] How is Quodpot different from Quidditch? [/INST] The ball explodes </s>
What is Professor Snape’s Patronus?,A doe (the same as Lily Potter’s—sob),<s>[INST] What is Professor Snape’s Patronus? [/INST] A doe (the same as Lily Potter’s—sob) </s>
Where is Hogwarts located?,Scotland,<s>[INST] Where is Hogwarts located? [/INST] Scotland </s>
Catching what object ends a Quidditch match?,Golden Snitch,<s>[INST] Catching what object ends a Quidditch match? [/INST] Golden Snitch </s>
What is the Chudley Cannons' team colour?,Orange,<s>[INST] What is the Chudley Cannons' team colour? [/INST] Orange </s>
Who previously held Snape's post?,Horace Slughorn,<s>[INST] Who previously held Snape's post? [/INST] Horace Slughorn </s>
What sensation accompanies the Sea Urchin Jinx?,Discomfort,<s>[INST] What sensation accompanies the Sea Urchin Jinx? [/INST] Discomfort </s>
How often does a Streeler's shell change colour?,Every Hour,<s>[INST] How often does a Streeler's shell change colour? [/INST] Every Hour </s>
Who becomes the Charms professor after Professor Flitwick?,Filius Flitwick remains the Charms professor throughout the series.,<s>[INST] Who becomes the Charms professor after Professor Flitwick? [/INST] Filius Flitwick remains the Charms professor throughout the series. </s>
Who is the Hogwarts student who cursed herself to get rid of her acne?,Eloise Midgen,<s>[INST] Who is the Hogwarts student who cursed herself to get rid of her acne? [/INST] Eloise Midgen </s>
Who famously crafted wand cores from Jackalope antlers?,Isolt Sayre.,<s>[INST] Who famously crafted wand cores from Jackalope antlers? [/INST] Isolt Sayre. </s>
Which centaur rescues Harry in the Forbidden Forest in Book 1?,Firenze.,<s>[INST] Which centaur rescues Harry in the Forbidden Forest in Book 1? [/INST] Firenze. </s>
What is the core of Draco Malfoy's wand?,Unicorn hair,<s>[INST] What is the core of Draco Malfoy's wand? [/INST] Unicorn hair </s>
"In the book, which old friend do Harry, Ron and Hermione run into at St. Mungo’s Hospital for Magical Maladies and Injuries?",Gilderoy Lockhart,"<s>[INST] In the book, which old friend do Harry, Ron and Hermione run into at St. Mungo’s Hospital for Magical Maladies and Injuries? [/INST] Gilderoy Lockhart </s>"
Which creature's hair is often woven into Invisibility Cloaks?,Demiguise,<s>[INST] Which creature's hair is often woven into Invisibility Cloaks? [/INST] Demiguise </s>
What painting guards the entrance to the Gryffindor common room?,The Fat Lady.,<s>[INST] What painting guards the entrance to the Gryffindor common room? [/INST] The Fat Lady. </s>
How did I become a metamorphagus?,You were born one.,<s>[INST] How did I become a metamorphagus? [/INST] You were born one. </s>
What happened during the Quidditch World Cup of 1473?,Players committed all the fouls,<s>[INST] What happened during the Quidditch World Cup of 1473? [/INST] Players committed all the fouls </s>
Madam Hooch has distinct yellow what?,Eyes,<s>[INST] Madam Hooch has distinct yellow what? [/INST] Eyes </s>
"When Riding Facing Backwards, how does steering work?",Turn to the opposite direction.,"<s>[INST] When Riding Facing Backwards, how does steering work? [/INST] Turn to the opposite direction. </s>"
What's Helga Hufflepuff's signature item?,Cup,<s>[INST] What's Helga Hufflepuff's signature item? [/INST] Cup </s>
What magical creature runs guards wand wood trees?,Bowtruckles,<s>[INST] What magical creature runs guards wand wood trees? [/INST] Bowtruckles </s>
From which word did the Mirror of Erised get its name?,Desire,<s>[INST] From which word did the Mirror of Erised get its name? [/INST] Desire </s>
What is the correct pronunciation of the Levitation Charm?,Win-GAR-dium Levi-OH-sa.,<s>[INST] What is the correct pronunciation of the Levitation Charm? [/INST] Win-GAR-dium Levi-OH-sa. </s>
What is the Chudley Cannons' team colour?,Orange,<s>[INST] What is the Chudley Cannons' team colour? [/INST] Orange </s>
Where is the nearest dragon reserve?,Romania,<s>[INST] Where is the nearest dragon reserve? [/INST] Romania </s>
Where did Dumbledore meet Tom Riddle for the first time?,Wool's Ophanage,<s>[INST] Where did Dumbledore meet Tom Riddle for the first time? [/INST] Wool's Ophanage </s>
What spell duplicates an item?,Geminio,<s>[INST] What spell duplicates an item? [/INST] Geminio </s>
Which of these is not a type of broom?,Phoenix,<s>[INST] Which of these is not a type of broom? [/INST] Phoenix </s>
Where can dark cloud constellations be most easily seen?,The Southern Hemisphere.,<s>[INST] Where can dark cloud constellations be most easily seen? [/INST] The Southern Hemisphere. </s>
What fake illness does Ron Weasley say he has to cover up his absence from Hogwarts?,Spattergroit,<s>[INST] What fake illness does Ron Weasley say he has to cover up his absence from Hogwarts? [/INST] Spattergroit </s>
What is the name of the dragon that Harry Potter faces in the first task of the Triwizard Tournament?,Hungarian Horntail,<s>[INST] What is the name of the dragon that Harry Potter faces in the first task of the Triwizard Tournament? [/INST] Hungarian Horntail </s>
Professor Snape is the head of which Hogwarts house?,Slytherin,<s>[INST] Professor Snape is the head of which Hogwarts house? [/INST] Slytherin </s>
Professor Sprout was the head of what department at Hogwarts?,Herbology,<s>[INST] Professor Sprout was the head of what department at Hogwarts? [/INST] Herbology </s>
What magical creature is known for guarding Gringott's Bank?,Ukrainian Ironbelly (a dragon),<s>[INST] What magical creature is known for guarding Gringott's Bank? [/INST] Ukrainian Ironbelly (a dragon) </s>
What magical sport is popular in North America?,Quodpot,<s>[INST] What magical sport is popular in North America? [/INST] Quodpot </s>
Ginny Weasley bought a pet Pygmy Puff from her older brothers' joke shop. What did she name it?,Arnold,<s>[INST] Ginny Weasley bought a pet Pygmy Puff from her older brothers' joke shop. What did she name it? [/INST] Arnold </s>
"Before Dumbledore, who was Headmaster of Hogwarts?",Armando Dippet,"<s>[INST] Before Dumbledore, who was Headmaster of Hogwarts? [/INST] Armando Dippet </s>"
I'd be surprised if you knew this. what's the first step of flying on your broom?,Kicking off,<s>[INST] I'd be surprised if you knew this. what's the first step of flying on your broom? [/INST] Kicking off </s>
What is the incantation for the Memory Charm?,Obliviate,<s>[INST] What is the incantation for the Memory Charm? [/INST] Obliviate </s>
In which scenario wiould you use a Deflating Drought?,Nulling Effects from a Swelling Solution,<s>[INST] In which scenario wiould you use a Deflating Drought? [/INST] Nulling Effects from a Swelling Solution </s>
Who does Harry live with before going to Hogwarts?,"His aunt and uncle, Petunia and Vernon Dursley, and cousin Dudley.","<s>[INST] Who does Harry live with before going to Hogwarts? [/INST] His aunt and uncle, Petunia and Vernon Dursley, and cousin Dudley. </s>"
"In the Order of Phoenix, who gives the flying lessons to Harry's group?",Rolanda Hooch,"<s>[INST] In the Order of Phoenix, who gives the flying lessons to Harry's group? [/INST] Rolanda Hooch </s>"
What is the name of Ron's brother who works at Gringotts?,Bill Weasley,<s>[INST] What is the name of Ron's brother who works at Gringotts? [/INST] Bill Weasley </s>
Which of these charms is the dancing-feet jinx?,Tarantallegra,<s>[INST] Which of these charms is the dancing-feet jinx? [/INST] Tarantallegra </s>
Phyllomancy is the practice of seeing the future with what?,Leaves,<s>[INST] Phyllomancy is the practice of seeing the future with what? [/INST] Leaves </s>
Who created the Sorcerer's Stone?,Nicolas Flamel,<s>[INST] Who created the Sorcerer's Stone? [/INST] Nicolas Flamel </s>
What magical bird did Uric have fifty of in his house?,Augureys,<s>[INST] What magical bird did Uric have fifty of in his house? [/INST] Augureys </s>
Which Quidditch team is last in the league?,Chudley Cannons,<s>[INST] Which Quidditch team is last in the league? [/INST] Chudley Cannons </s>
What does it mean when a magical creature is classified as XXX by the Ministry of Magic?,Competent Wizards Should Cope,<s>[INST] What does it mean when a magical creature is classified as XXX by the Ministry of Magic? [/INST] Competent Wizards Should Cope </s>
What is the name of the black family's ancestral home in the Harry Potter series?,Grimmauld Place,<s>[INST] What is the name of the black family's ancestral home in the Harry Potter series? [/INST] Grimmauld Place </s>
Which of the following is caused by space weather?,Auroras.,<s>[INST] Which of the following is caused by space weather? [/INST] Auroras. </s>
What does the Ear-Shrivelling Curse cause?,Ears to wither,<s>[INST] What does the Ear-Shrivelling Curse cause? [/INST] Ears to wither </s>
How many Horcruxes did Voldemort create intentionally?,Six,<s>[INST] How many Horcruxes did Voldemort create intentionally? [/INST] Six </s>
My voice is best compared to what?,A Vacuum Cleaner,<s>[INST] My voice is best compared to what? [/INST] A Vacuum Cleaner </s>
When did Harry learn Accio?,Year 4,<s>[INST] When did Harry learn Accio? [/INST] Year 4 </s>
What type of magical creature is Dobby?,House-elf,<s>[INST] What type of magical creature is Dobby? [/INST] House-elf </s>
Which is not the form of Transfiguration?,Enchantment,<s>[INST] Which is not the form of Transfiguration? [/INST] Enchantment </s>
"During the Triwizard Tournament, who escorted Hermione to the Yule Ball?",Viktor Krum,"<s>[INST] During the Triwizard Tournament, who escorted Hermione to the Yule Ball? [/INST] Viktor Krum </s>"
Which of these is not a type of broom?,Occamy,<s>[INST] Which of these is not a type of broom? [/INST] Occamy </s>
What is the emblem of St. Mungo's Hospital for Magical Maladies and Injuries?,A wand cross with a bone,<s>[INST] What is the emblem of St. Mungo's Hospital for Magical Maladies and Injuries? [/INST] A wand cross with a bone </s>
Which part of the asphodel plant is used in Draught of Living Death?,Root,<s>[INST] Which part of the asphodel plant is used in Draught of Living Death? [/INST] Root </s>
What’s the best solution for a broken nose?,Episkey,<s>[INST] What’s the best solution for a broken nose? [/INST] Episkey </s>
What does Mimbulus Mimbletonia use as a defence mechanism?,Stinksap,<s>[INST] What does Mimbulus Mimbletonia use as a defence mechanism? [/INST] Stinksap </s>
How many Rogue Planets exist in the Milky Way?,Billions.,<s>[INST] How many Rogue Planets exist in the Milky Way? [/INST] Billions. </s>
A Nimbus is a type of what?,Broom,<s>[INST] A Nimbus is a type of what? [/INST] Broom </s>
What Quidditch players fend off the Bludgers?,The Beaters,<s>[INST] What Quidditch players fend off the Bludgers? [/INST] The Beaters </s>
Madam Hooch has distinct yellow what?,Eyes,<s>[INST] Madam Hooch has distinct yellow what? [/INST] Eyes </s>
Did Muggles use ancient runes as well?,They did.,<s>[INST] Did Muggles use ancient runes as well? [/INST] They did. </s>
Why did Liechtenstein not attend the first meeting of the International Confederation of Wizards?,Their Stance on Troll Rights,<s>[INST] Why did Liechtenstein not attend the first meeting of the International Confederation of Wizards? [/INST] Their Stance on Troll Rights </s>
Which of the following was a reason why the 14th century witch burnings were pointless?,Flame-Freezing Charm,<s>[INST] Which of the following was a reason why the 14th century witch burnings were pointless? [/INST] Flame-Freezing Charm </s>
Where are Kappas most commonly found?,Japan,<s>[INST] Where are Kappas most commonly found? [/INST] Japan </s>
What is the name of the wizard village near Hogwarts?,Hogsmeade,<s>[INST] What is the name of the wizard village near Hogwarts? [/INST] Hogsmeade </s>
The Deflating Drought is an antidote to which potion?,Swelling Solution,<s>[INST] The Deflating Drought is an antidote to which potion? [/INST] Swelling Solution </s>
"What is the primary school attended by Harry Potter's son, Albus Severus Potter?",Hogwarts School of Witchcraft and Wizardry,"<s>[INST] What is the primary school attended by Harry Potter's son, Albus Severus Potter? [/INST] Hogwarts School of Witchcraft and Wizardry </s>"
The Medieval Assembly of European Wizards gives out which award?,Bravery Against Fantastic Beasts Award,<s>[INST] The Medieval Assembly of European Wizards gives out which award? [/INST] Bravery Against Fantastic Beasts Award </s>
A Firebolt is a type of what?,Broom,<s>[INST] A Firebolt is a type of what? [/INST] Broom </s>
Who is the Gamekeeper of Hogwarts?,Rubeus Hagrid,<s>[INST] Who is the Gamekeeper of Hogwarts? [/INST] Rubeus Hagrid </s>
What is the Name of America’s Magical Government?,MACUSA,<s>[INST] What is the Name of America’s Magical Government? [/INST] MACUSA </s>
"At the beginning of the story, where does Hedwig find Harry?",She is waiting in his room at the Leaky Cauldron. Clever owl!,"<s>[INST] At the beginning of the story, where does Hedwig find Harry? [/INST] She is waiting in his room at the Leaky Cauldron. Clever owl! </s>"
How many classes did Hermione Granger take this year?,12!,<s>[INST] How many classes did Hermione Granger take this year? [/INST] 12! </s>
What is Voldemort's mother's name?,Merope,<s>[INST] What is Voldemort's mother's name? [/INST] Merope </s>
Why would you need to switch brooms midair?,Broom failure,<s>[INST] Why would you need to switch brooms midair? [/INST] Broom failure </s>
"What is the name of the werewolf who teaches Defense Against the Dark Arts in ""Harry Potter and the Prisoner of Azkaban""?",Remus Lupin,"<s>[INST] What is the name of the werewolf who teaches Defense Against the Dark Arts in ""Harry Potter and the Prisoner of Azkaban""? [/INST] Remus Lupin </s>"
What does the term 'Muggle' refer to in Harry Potter?,A non-magical person,<s>[INST] What does the term 'Muggle' refer to in Harry Potter? [/INST] A non-magical person </s>
What type of Transfiguration turns a goldfinch into a Golden Snitch?,Transformation,<s>[INST] What type of Transfiguration turns a goldfinch into a Golden Snitch? [/INST] Transformation </s>
"Before Dumbledore, who was Headmaster of Hogwarts?",Armando Dippet,"<s>[INST] Before Dumbledore, who was Headmaster of Hogwarts? [/INST] Armando Dippet </s>"
Which of these is not a type of broom?,Phoenix,<s>[INST] Which of these is not a type of broom? [/INST] Phoenix </s>
Where does Valerian grow best?,In the sun,<s>[INST] Where does Valerian grow best? [/INST] In the sun </s>
What's the tallest tower at Hogwarts?,The Astronomy Tower.,<s>[INST] What's the tallest tower at Hogwarts? [/INST] The Astronomy Tower. </s>
What is the name of the Wizard village near Hogwarts?,Hogsmeade,<s>[INST] What is the name of the Wizard village near Hogwarts? [/INST] Hogsmeade </s>
Which mischievous character from the books did not feature in the movies?,Peeves the Poltergeist,<s>[INST] Which mischievous character from the books did not feature in the movies? [/INST] Peeves the Poltergeist </s>
Which house does Harry Potter belong to?,Gryffindor,<s>[INST] Which house does Harry Potter belong to? [/INST] Gryffindor </s>
What is not an alternate name for Wolfsbane?,Belladonna,<s>[INST] What is not an alternate name for Wolfsbane? [/INST] Belladonna </s>
What is the opposite of conjuration?,Vanishment,<s>[INST] What is the opposite of conjuration? [/INST] Vanishment </s>
What is the name of the wizard village near Hogwarts?,Hogsmeade,<s>[INST] What is the name of the wizard village near Hogwarts? [/INST] Hogsmeade </s>
Where are flying lessons held?,Training Grounds,<s>[INST] Where are flying lessons held? [/INST] Training Grounds </s>
What magical sport is popular in North America?,Quodpot,<s>[INST] What magical sport is popular in North America? [/INST] Quodpot </s>
"In Book 2, who is the first victim to be petrified by the basilisk?","Filch's cat, Mrs. Norris.","<s>[INST] In Book 2, who is the first victim to be petrified by the basilisk? [/INST] Filch's cat, Mrs. Norris. </s>"
Who was the Minister of Magic during the First World War?,Archie Evermonde,<s>[INST] Who was the Minister of Magic during the First World War? [/INST] Archie Evermonde </s>
Which Quidditch team is last in the league?,Chudley Cannons,<s>[INST] Which Quidditch team is last in the league? [/INST] Chudley Cannons </s>
Who is the author of 'Fantastic Beasts and Where to Find Them'?,Newt Scamander,<s>[INST] Who is the author of 'Fantastic Beasts and Where to Find Them'? [/INST] Newt Scamander </s>
Which charm freezes the target in place?,Immobulus,<s>[INST] Which charm freezes the target in place? [/INST] Immobulus </s>
Who teaches Defense Against the Dark Arts during Harry's second year at Hogwarts?,Gilderoy Lockhart,<s>[INST] Who teaches Defense Against the Dark Arts during Harry's second year at Hogwarts? [/INST] Gilderoy Lockhart </s>
What magical sport is popular in North America?,Quodpot,<s>[INST] What magical sport is popular in North America? [/INST] Quodpot </s>
Who discovered the law of elemental transfiguration?,Gamp,<s>[INST] Who discovered the law of elemental transfiguration? [/INST] Gamp </s>
Who played Professor Dumbledore in the first movie?,Richard Harris,<s>[INST] Who played Professor Dumbledore in the first movie? [/INST] Richard Harris </s>
"On his first ride aboard the Hogwarts Express, whose card did Harry get with his chocolate frog?",Dumbledore,"<s>[INST] On his first ride aboard the Hogwarts Express, whose card did Harry get with his chocolate frog? [/INST] Dumbledore </s>"
What is the antidote to Swelling Solution?,Deflating Draught,<s>[INST] What is the antidote to Swelling Solution? [/INST] Deflating Draught </s>
Which team is in last place?,Chudley Cannons,<s>[INST] Which team is in last place? [/INST] Chudley Cannons </s>
What are 'wildcats' referring to?,The Gargoyles on strike.,<s>[INST] What are 'wildcats' referring to? [/INST] The Gargoyles on strike. </s>
I'd be surprised if you knew this. what's the first step of flying on your broom?,Kicking off,<s>[INST] I'd be surprised if you knew this. what's the first step of flying on your broom? [/INST] Kicking off </s>
What type of ball attempts to hit players?,Bludger,<s>[INST] What type of ball attempts to hit players? [/INST] Bludger </s>
What was the Hippogriff Buckbeak called when he returned to Hogwarts?,Witherwing,<s>[INST] What was the Hippogriff Buckbeak called when he returned to Hogwarts? [/INST] Witherwing </s>
Who was the Rook in the Chessboard Chamber?,Hermione Granger,<s>[INST] Who was the Rook in the Chessboard Chamber? [/INST] Hermione Granger </s>
Which creatures feed on the human brain and helped Newt Scamander escape?,Swooping Evil,<s>[INST] Which creatures feed on the human brain and helped Newt Scamander escape? [/INST] Swooping Evil </s>
What house is Justin Finch-Fletchley in?,Hufflepuff,<s>[INST] What house is Justin Finch-Fletchley in? [/INST] Hufflepuff </s>
What book is instrumental for this lesson?,Charm Your Own Cheese.,<s>[INST] What book is instrumental for this lesson? [/INST] Charm Your Own Cheese. </s>
What magical sport is popular in North America?,Quodpot,<s>[INST] What magical sport is popular in North America? [/INST] Quodpot </s>
Name a crushed ingredient that is used in cure for boils.,Snake fang,<s>[INST] Name a crushed ingredient that is used in cure for boils. [/INST] Snake fang </s>
Where is the Slytherin Common Room?,The Dungeons,<s>[INST] Where is the Slytherin Common Room? [/INST] The Dungeons </s>
What spell did Snape invent that Harry later uses on Draco Malfoy?,Sectumsempra,<s>[INST] What spell did Snape invent that Harry later uses on Draco Malfoy? [/INST] Sectumsempra </s>
Catching what object ends a Quidditch match?,Golden Snitch,<s>[INST] Catching what object ends a Quidditch match? [/INST] Golden Snitch </s>
What does Hermione smell in the amortenia (or love) potion?,"Grass, parchment, spearmint toothpaste and Ron Weasley’s hair","<s>[INST] What does Hermione smell in the amortenia (or love) potion? [/INST] Grass, parchment, spearmint toothpaste and Ron Weasley’s hair </s>"
The crop circles in Muggle legends might have been left by what magical creature?,Mooncalf,<s>[INST] The crop circles in Muggle legends might have been left by what magical creature? [/INST] Mooncalf </s>
Who anonymously sends Harry his father's Invisibility Cloak on Christmas?,Albus Dumbledore,<s>[INST] Who anonymously sends Harry his father's Invisibility Cloak on Christmas? [/INST] Albus Dumbledore </s>
Where does Harry Potter first see Draco Malfoy?,In Madame Malkin’s Robes for All Occasions,<s>[INST] Where does Harry Potter first see Draco Malfoy? [/INST] In Madame Malkin’s Robes for All Occasions </s>
When did the wildcat gargoyle strike the place?,1911,<s>[INST] When did the wildcat gargoyle strike the place? [/INST] 1911 </s>
Who is the potions professor?,Professor Severus Snape,<s>[INST] Who is the potions professor? [/INST] Professor Severus Snape </s>
What magical creature is Ron deathly afraid of?,Spiders,<s>[INST] What magical creature is Ron deathly afraid of? [/INST] Spiders </s>
What is Rowena Ravenclaw's signature item?,Diadem,<s>[INST] What is Rowena Ravenclaw's signature item? [/INST] Diadem </s>
Which Quidditch team is last in the league?,Chudley Cannons,<s>[INST] Which Quidditch team is last in the league? [/INST] Chudley Cannons </s>
Who teaches Care of Magical Creatures?,Silvanus Kettleburn,<s>[INST] Who teaches Care of Magical Creatures? [/INST] Silvanus Kettleburn </s>
What's the first step to performing a Bell Tailslide?,Flying straight up.,<s>[INST] What's the first step to performing a Bell Tailslide? [/INST] Flying straight up. </s>
What does Amortentia smell like?,It depends,<s>[INST] What does Amortentia smell like? [/INST] It depends </s>
Which of the following traits does the Occamy exhibit?,Choranaptyxis,<s>[INST] Which of the following traits does the Occamy exhibit? [/INST] Choranaptyxis </s>
What trait do I* value most in a student?,Intellect,<s>[INST] What trait do I* value most in a student? [/INST] Intellect </s>
Which famous Auror crashed Bill's party?,Alastor Moody.,<s>[INST] Which famous Auror crashed Bill's party? [/INST] Alastor Moody. </s>
Madam Hooch has distinct yellow what?,Eyes,<s>[INST] Madam Hooch has distinct yellow what? [/INST] Eyes </s>
What charm can repel a Lethifold?,Patronus Charm,<s>[INST] What charm can repel a Lethifold? [/INST] Patronus Charm </s>
What did Fred and George use to protest against Dolores Umbridge's authority?,Weasley's Wildfire Whiz-bangs,<s>[INST] What did Fred and George use to protest against Dolores Umbridge's authority? [/INST] Weasley's Wildfire Whiz-bangs </s>
Which of these plants bloom instantly?,Puffapod,<s>[INST] Which of these plants bloom instantly? [/INST] Puffapod </s>
What is true about tortoises?,Some live over 200 years.,<s>[INST] What is true about tortoises? [/INST] Some live over 200 years. </s>
What does Hermione say Jupiter's largest moon is?,Ganymede,<s>[INST] What does Hermione say Jupiter's largest moon is? [/INST] Ganymede </s>
Which of the following is not a Horcrux?,Elder Wand,<s>[INST] Which of the following is not a Horcrux? [/INST] Elder Wand </s>
"In Book 5, Snape is assigned to teach Harry what type of magic?",Occlumency.,"<s>[INST] In Book 5, Snape is assigned to teach Harry what type of magic? [/INST] Occlumency. </s>"
How is the Grey Lady related to Rowena Ravenclaw?,She's Rowena's daughter.,<s>[INST] How is the Grey Lady related to Rowena Ravenclaw? [/INST] She's Rowena's daughter. </s>
What can you counteract by consuming Moly?,Enchantments.,<s>[INST] What can you counteract by consuming Moly? [/INST] Enchantments. </s>
How do you greet a Hippogriff?,With a bow,<s>[INST] How do you greet a Hippogriff? [/INST] With a bow </s>
Which puzzle guarding the Sorcerer’s Stone does Hermione Granger solve?,Professor Snape’s logic puzzle with potion bottles,<s>[INST] Which puzzle guarding the Sorcerer’s Stone does Hermione Granger solve? [/INST] Professor Snape’s logic puzzle with potion bottles </s>
What is the title of this book and movie everywhere except in the United States?,Harry Potter and the Philosopher’s Stone,<s>[INST] What is the title of this book and movie everywhere except in the United States? [/INST] Harry Potter and the Philosopher’s Stone </s>
Harry and Ginny have three children. What are their names?,"James, Albus, and Lily.","<s>[INST] Harry and Ginny have three children. What are their names? [/INST] James, Albus, and Lily. </s>"
Who are the members of the 'Golden Trio'?,"Harry Potter, Ron Weasley, Hermione Granger","<s>[INST] Who are the members of the 'Golden Trio'? [/INST] Harry Potter, Ron Weasley, Hermione Granger </s>"
What item cannot be conjured?,Food,<s>[INST] What item cannot be conjured? [/INST] Food </s>
What spell works on the Whomping WIllow to stop it from attacking?,The Freezing Charm,<s>[INST] What spell works on the Whomping WIllow to stop it from attacking? [/INST] The Freezing Charm </s>
